Phrase,Target
get going sketchy guy,Neutral
hi announce nearly 9 years depression going finally make initiative get antidepressants tomorrow,Positive
affects lebron legacy,Neutral
go buy oyo parfait,Neutral
feel kinda lonely want forgiven use words want apologize use words truth,Positive
antidepressants mean defense dark thoughts,Neutral
yes please im lonely,Negative
took hand spoke little shy lonely people situation made eloquent even bold pressed hand laid upon eyes glowed looking hastily mine smiled blushed,Positive
honest question things trade want subject gold spend time literally anywhere else less frustrated,Positive
ah see never heard,Neutral
really gonna need pharmacy hurry refill antidepressants adhd meds stop giving worlds bizarre nightmares,Negative
itd save time give feels hopeless,Negative
love really hopeless ppl love idea relationships actual relationships commitment journey go one everyone replaceable 7 billion ppl world one,Negative
feel lonely able meet dear amarette,Negative
one difficult things go someone still manage feel lonely thats relationship dont want,Negative
always chose lonely love home,Negative
happiness success cotton candy beaten soul lonely raccoon trying wash tasty treat dissolve away,Positive
people feel lonely night people tend reveal side choose start conversation time,Negative
broken pieces barely breathing story love theres lonely,Neutral
presentation impeccable pos,Neutral
november rain always correct answer,Neutral
lonely girl dreaming day things knows far away,Neutral
mastodon looks super fucking cool cohost kind exciting actually weird hopeless month spawns bit hope day job however incredible amount uncertainty bird app one wants advertise place right,Positive
text cold moddafokker avoid cost cold moddafokkers dont care u urs family friends probably lonely enjoy see others loony land,Neutral
sounding depressed love idk love hopeless romantic,Positive
sometimes lonely sit think hurts remember good times,Negative
name antidepressant know money,Neutral
adoring quiet storm low rumble roll embrace onomatopoeia puddle raindrops im lost rhyme rhythm weather wave seventies autumnal tumble cloudless blue im sorrow nourishing lonely poems two love like none realms unexplored,Positive
antidepressant miss much bois comeback soon plis,Negative
depressed climate issues depressed financial issues fact pretty conservative reckon least 75 worlds population form depressed oppressed suffering 3,Negative
youre suspicious something youll start suspicious everything even thats felt hopeless,Negative
think capitalising alienation loneliness bet ends resembling one shitty dating sites pay get read receipt absolute worst fear boring lonely troll theyre ignored nobodys seeing bit,Neutral
mom depressed today feels gonna fired work little know boss wants work home stay sharp possible like seeing like gonna okay,Negative
logic youve become dependent horrible drug also taking antidepressants,Negative
someone whos completely hopeless human still allowed talk dreams,Positive
depressed interesting days want die days want people,Negative
emperor new drugs exploding antidepressant myth ejavbrv,Neutral
need lots prayer going hospital,Neutral
nothing whole lonely n depressed generation hiding behind memes drugs deep quotes,Negative
processing happen multidimensional especially since side working really hard repair unfixable things fix love know hatred lonely roy orbison via,Negative
truth lonely road especially first,Negative
tear whole building,Neutral
shes bleeding hopeless like rest labour lot,Negative
heary nd lungs different nd weed na antidepressants,Neutral
tired anxious depressed apprehensive,Negative
love want constantly get better reach higher levels seems like lonely selfish life skip carved,Positive
forum halseys hopeless fountain kingdom tour cant believe already five years ago time flies,Neutral
planets fell dust lonely departing us,Negative
careful creature made friends time left lonely diamond mind ocean eyes,Positive
taking antidepressants stop getting feelings numbness good,Positive
im freaking hopeless romantic hate,Negative
remember people care think amazing ive seen change youve made stupid thank much love everyones support helps much feel helpless hopeless hearing pe,Positive
love understand youve depressed start period,Positive
like ive lonely love series long got people holler,Positive
thats youre supposed consume alcohol antidepressants,Neutral
addicted money got none depressed,Neutral
received true relationship advice healthy relationships still argue different opinions feel frustrated get bored makes healthy choose move challenges together,Positive
got done w therapy n pee went bathroom finished compulsively started bodychecking taking pics therapist walked like,Neutral
im lonely selective reprehensible combination,Neutral
fact dont feel lonely youre sitting alone lt feel alone ignored,Negative
seen announcementt oof roundd 11 wentt live letss goo wagmi,Neutral
dont know overcome really feel hopeless,Negative
softly pulls wendy close hugs whispers ear woman love hopeless despair always know ill always,Positive
increase antidepressant dosage today,Negative
took new antidepressants first time like two hours ago made fucking tired oh god struggling stay awake,Negative
emperor new drugs exploding antidepressant myth cepru4m,Neutral
wholesome silly hopeless type romance like full agree,Positive
feeling hopeless someone share cute pictures animals,Negative
beginning easy deny good friend mine lives kansas end easy deny another lonely day kansas,Neutral
u depressed ur sign smoke go walk listen ur favorite artist think make u feel better,Positive
keep venturing notice group young astronomers laughing happily theyre looking starry sky feel lonely came ill home short promise,Positive
causes anticholinergic toxidrome atropine antihistamines belladonna jimson weed cyclic antidepressants phenothiazines,Neutral
im feeling less less human years go hopeless still somewhere bones ii still stuck gray city country calling home,Negative
sometimes feel lonely,Negative
lonely path hacker walk run walk run crawl,Neutral
weirdest dream today think im lonely,Negative
see avoid things makes depressed turn around something nicer,Neutral
absolutely fecking hopeless,Negative
hello elissa sorry lonely hope get better soon love melbourne,Positive
glad let go completely antidepressants finally,Positive
really hear antidepressants harrys house full 42 minutes huh,Neutral
hair antidepressants,Neutral
sad lonely people sigh,Neutral
probably saved nearly cumulative two minutes dispersed second fractions second long intervals frustrated uncomprehending confusion span life thanks,Neutral
axsm antidepressant price target 70,Neutral
may starting arresting putins oligarchs money around globe send ukraine,Neutral
orphans dead parents lonely,Negative
life sucks wtf everyday dont want keep forever need big change life waste time depressed hate look sm look ugly im gonna fucking cry body ugly face hair,Negative
cant find another reason stay know im gonna always lonely lonely lonely lonely heart,Negative
hopeless alice mind im unintentionally stammering must find repulsive wanna die,Negative
boyfriends chat pt 7 brat simp,Neutral
started antidepressants idk write anymore,Negative
noooo jade deserves many loves attentions dont leave lonely,Positive
feel hopeless know battle need overcome something dont know let go engrained head im terrified go gain back weight,Negative
f amp drugs tight grip someone love situation seems hopeless,Negative
im going block creepy liberals flooding homepage also lets stop giving attention supposed leave twitter elon musk became new owner wants attention lonely old man love trump,Negative
wanna one mega rich sad lonely folk one day got lonely sad part,Neutral
lovely way hopeless lovely way need someone like sometimes never saved,Positive
maybe hopeless maybe give,Negative
matter go must learn support give inspiration fail give warmth lonely strive make hearts lighter spirits lighter,Positive
knew taking antidepressant antipsychotic lifting weights becoming obsessed jiu jitsu perfect spotify playlists takes longer mentally ill crushing girlies,Negative
saw scared like cause oh crud brought back painful memories back old days shy lonely nerdy kid felt like everyone wanted harras mock harm saw comfort character little fox boi,Neutral
pulled mask back left cried taxi way home currently feeling hopeless im using tools work way im able leave bed right,Negative
went antidepressants weeks dst ends fortune favors brave,Positive
distraught asf ugly amp lonely,Neutral
mean im depressed surprised depressed,Negative
emotional days wanted move glad moving hard made feel lonely housemates seem lovely im sure well become friends level im strong ill get,Positive
drinking eating peyote plants,Neutral
lonely float got way feel knew anyway take chance wasnt know take hand dont let go,Positive
great things lonely,Positive
psychiatric turning eunuchs,Neutral
thats answer anyone opinion going one lonely dude,Negative
read loud sister amp asked amp said twitter meant antidepressant,Neutral
great celebrity profiles make world less lonely think stephen colbert 2015 tom hiddleston 2017 gq michelle williams vanity fair 2018 tom hanks new york times 2020 selena gomez rolling stone 2022,Positive
dont expect people understand love judge amp speak like know youre going truth dont one theyve walked shoes dont feel frustrated hear comments almighty knows smile amp move,Positive
end main job survive inpatient psych care sucks ass incredibly stressful scary frustrating kinda feels like hopeless place tbh life feels like anyway lol believe one hour day night time,Negative
think forgot take antidepressants,Neutral
anything youre hopeless really want ruin chances girl could cause scene right leave going somewhere worse hospital,Negative
lonely shit last 4ever im jumping bridge im scared become reality really mom like thats motivation need grind music shit,Negative
sometimes truly wish someone talk shit get real lonely frfr,Negative
im lonely fuck,Negative
popped man house yesterday watch finals,Neutral
probably antidepressant point claimed meds insurance issues get contract mris,Neutral
duck rarely depressed unless mexican one,Neutral
tim lonely lonely send tim reading materials needs fill time,Negative
woman never feel lonely men n fact,Positive
uuugh im frustrated also happy time case im overwhelmed emotions,Positive
love knowing even alone never lonely,Positive
feel like music industry get lonely artists since usually work alone forced view peers competition actors get work years play team musicians get producers writers,Neutral
honest thing get frustrated start pressing buttons,Neutral
novel anti inflammatory formulation comprising celecoxib cannabidiol exerts antidepressant anxiolytic effects,Neutral
novel anti inflammatory formulation comprising celecoxib cannabidiol exerts antidepressant anxiolytic effects,Neutral
smart weird hopeless,Negative
today bad enough also stressed since therapist suggested consider going antidepressants bc years since meds idea gives much anxiety bc idk want give shot ajdhsahaaaaaaa urgh,Negative
frustrated training thats long unchallenging poorly suited upskilling team give developers training teach skills needed defend org start free trial,Neutral
wheres puppy actually wheres anybody im literally lonely,Neutral
thoughts want potentially make people feel hopeless beat want hopefully connect people share thoughts feelings hopes motivating eachother fear enough,Positive
nothing white supremacy quit looking cause day thankful,Positive
lips feeling kinda lonely,Neutral
ultimately lonely guy watching sports,Neutral
painful watch wilhelm full anger frustration lonely hopeless hurt stomach many times thought hed break tears wish relieve pain bit portrayed wille going well,Negative
start thinking guy lil remember bsf wallpaper showers love across globe time difference remember bar hopeless man child,Positive
slow dancer hopeless romancer dopest flow stanzas,Negative
course burnt least 25 countries forests,Neutral
tired lonely 8 x 10 room night night everyone,Negative
immigration still reading notes hapless hopeless,Neutral
sorry one referring get depressed sometimes gt lt,Negative
amount antidepressants fix,Negative
maybe hospitals treating mentally ill depressed suicidal thoughts instead chopping healthy sex organs children,Negative
today first time felt lonely need love life bts dont make first move take action marry,Negative
cause lonely holidays,Neutral
feel one ever since starting antidepressants dream half stressful near nightmares,Negative
join us treehouse right youll hear dont leave lonely,Positive
life ive lonely name holy,Negative
achieve always dream sure potentials god gave make happen thus sure goal happen one day really depressed never let go,Positive
beyond lonely nights holding hands like friends,Positive
whole post hurt otherwise wouldnt basement moms must pretty lonely,Negative
even though things may look dark hopeless god heard prayers miracles blessings way,Positive
sink clooooothes invasion makes feel worthless hopeless sick,Negative
red delicious even fruit sand,Neutral
stop talking people stressing bad lonely stop,Negative
idk people say cry antidepressants b crine,Negative
got lonely started listening mitski,Negative
lonely feels big today wish knew something could,Negative
sweet belly best navel around btw ig feels bit lonely baby lol,Neutral
hopeless romantic translation id rather watch movies sky id rather watch stars clouds birds fly,Neutral
lets get wins army hugs armys slogged away even fight looked hopeless love participated armying voting buying donating streaming promoting bts,Positive
play right lonely,Neutral
suddenly lonely anymore,Negative
facts tho hopeless romantics readers,Neutral
part show antidepressant day hosted chris rossetti nov 3 3 30pm pdt,Neutral
get boring lonely asf apartment might think adopting puppy kitten,Negative
speak taken antidepressant,Neutral
today also made huge decision come antidepressants something right time working like know massive chance relapsing yet another breakdown cross bridge come,Positive
sorry youre lonely dont life sweetie appreciate endorphin release lobotomy might get friends,Negative
really hate ayoama sensei always makes ran like sad lonely person needs someone get save sadness agh dont even wanna talk 0 nothing like thats cringe,Negative
right still hopeless,Negative
saw girl looked like thought must lonely loving someone trying find way maze,Neutral
read 14 books october top 3 1 starts us 2 hopeless 3 hurt,Neutral
brain still fuckin mess antidepressants antianxiety meds helping still need pain meds help pain rather take edge need help process shit head,Negative
kinda feel tad bit happy saw tweets saying shes kinda felt lonely birthday,Positive
still lover girl filled poetry hopeless romance endless desire boundaries self worth preserved limited access show lack effort wish use,Positive
feel fucking depressed miserable hopeless alone iwant die iwish people irl cared,Negative
body shaming gorillas,Neutral
use looking within brings lonely feeling,Neutral
coffee weed antidepressants mixed together call intentional self harm,Negative
power always comes measure loneliness ever feel lonely sensei,Negative
saw someone healthy relationship tiktok say healthy relationships feel incredibly lonely dude feeling lonely relationship need get,Neutral
great advice something try display leader 125 team members always easy though heat battle frustrated slowly learning control frustration game changer lead love accountability,Positive
feel lonely worthless,Negative
talking start accessible assessment project frustrated inaccessible task sheet six years ago beginning work education horizon grant scheme led qut project strengthening student assessment,Positive
sad lonely old man,Negative
two made life best ever wouldnt made years holiday season want spend family flash wouldnt want earth without lonely place babe j love,Positive
even youve married 50 years loss loved one always soon even bed always right temperature loss partner makes cold dinners always lonely,Negative
christmas novena masses day 2 video prayer cards,Neutral
selling adhd meds tiktok like selling antidepressants funeral,Neutral
antidepressant use infection pregnancy linked neurodevelopmental changes babies study suggests,Neutral
smoke marijuana antidepressants since college first time smoked immediately took away panic attack faster meds sobbed afterwards never felt much relief life fast,Positive
antidepressants physically cannot fail,Positive
lonely single female anybody else feel like,Neutral
feel like dying depressed want eat also want lose weight everything horrible,Negative
frustrated effort vain,Negative
sliced lemon sliced ginger turmeric hot water havent virus drink winter months good keep flu bay turmeric good antidepressant ive citalopram,Positive
im sad im lonely raining heated blanket isnt heating want french fries,Negative
look like hopeless romantic side character never realised love cuz fell mc lol,Positive
cant stop calling antidepressants song,Neutral
lonely lonesome love,Neutral
feel like like,Neutral
greed purpose humans define existence struggle need give 8 billion children something everyday call work problem solved work thus communal purpose person feels hopeless amp isolated rules breakdown,Negative
think used dads closest mate hes alienated lonely hey thats,Negative
eyes show heart youre lonely forget,Positive
antidepressants repair impaired brain,Neutral
pro tip antidepressants fucking take,Neutral
dont patreon kofi taking ink pencil requests come request owo,Neutral
antidepressants btw anyone says shit ever let go fucking far,Negative
lana del rey empowered become hopeless romantic today,Neutral
infuriating stable thrown meds let daily tasks ive tried 30 different meds seem revamped antidepressants anti inflammatories injections neck bc spinal stenosis bulging amp herniated discs fu,Negative
dont get lonely,Positive
coming antidepressant actually laugh,Positive
im hopeless romantic,Neutral
poor ones arent even benefitting still neck deep capitalist lies make depressed sad,Negative
okay feel free dm u feel frustrated,Positive
never lonely sweetiehoneypumpkin,Positive
things truly hopeless ill give heart support needs,Positive
feeling quite discouraged hopeless election,Negative
plus antarctica probably closer equator,Neutral
lord frank antidepressant nintendo eshop,Neutral
pathetic attempt trying get bunch horned lonely golf nerd dudes follow dime dozen millennial girl played golf calls professional account ive ever seen,Neutral
think im getting depression back happened last year idea feel helpless hopeless everything,Negative
im sorry feel lonely didnt realise back really bad,Negative
morning feels broken lonely fck,Negative
go know cold dont wanna lonely show way home cant lose another life,Neutral
hopeless 2 2,Negative
antidepressants mostly flouride,Neutral
neighbor blasting destroy lonely didnt know cool,Negative
know antidepressants weed feel fucking great today,Positive
im fucking close,Neutral
inflammation may explain antidepressants link preterm birth,Neutral
every commercial either lawyer antidepressant,Neutral
antidepressants silly course always every single time weve always guns didnt always school shootings began 90s,Neutral
tired frustrated wantibg burn something wow hate school tge fun part today dealing dumbass yes see talking dummie,Negative
lonely horny honest,Positive
hopeless crush someone chance,Negative
maybe everyone right depressed loved wish wasnt,Positive
charge kickback saturday thought made clear done throwing parties stressed depressed,Negative
guess could say im funny wee little lad accept please incredibly lonely,Positive
im lost lights american glory faded im feeling hopeless ripped prom dress running rose thorns,Negative
one less lonely girl,Neutral
1312 followers based,Neutral
inappropriate ask know holidays lonely lot folks open case,Neutral
frustrated spent least 7 hours 7 hours fucking quiz takes normal people 2 hours less got 14 20 grade goes 12 35 instead 12 50 hate policy quizzes 80 grade thought 100 hate math,Negative
makin gemes daah,Neutral
really hopeless know separation solution,Negative
best cod im lonely,Negative
good morning friend welcome november start everyday new hope leave bad memories behind faith better today tomorrow joyful hope patient affliction faithful prayer seemed hopeless failure may turn glorious success,Positive
wants find love hopeless place hopeless,Negative
im tired im lonely,Negative
high fidelity go back see exes depressed,Neutral
yes crying work 8 hours starbucks showing hopeless new generation,Negative
fxck nigga ima die lonely,Negative
experience im always frustrated id like ate know clearly live house people,Negative
ill skip much except say wedding planning lonely overwhelming process way prepared expensive hell,Neutral
export loneliness express really lonely,Neutral
feel hopeless rn im supposed omad week theres really way hope say stomach hurts smth,Negative
spiking ur boyfriend antidepressants actually last bed,Neutral
someone ignores get lonely someone asks help feel anxious cant live near people dont want around feel like hearts torn pieces,Negative
god dont let write mickey mouse sign ask exam,Neutral
right people maybe wont kill feel isolated lonely least hes beaten death yet,Negative
life drastically improved thanks antidepressants,Positive
mans way leads hopeless end allahs way leads endless hope,Positive
fun lonely troll tryna get likes,Positive
matter stuck u feel matter bad things right matter hopeless amp depressed u feel matter many days spent wishing things different promise u feel way forever keep going,Positive
catching loads think jen shah drink antidepressant,Neutral
stop hopeless challenge,Negative
feel kinda lonely world,Negative
sort ironic feel like life purpose breath life hopeless seek shadows,Negative
ive rarely felt lonely sad last couple weeks thank people helped know mean world,Positive
never hopeless days many bad effects dont know say every morning wanna wake lot energy fight go sometimes doesnt work,Negative
course cold christmas always,Neutral
feel like need clarify take antidepressants least year,Positive
feeling depressed oppressed suppressed stressed etc,Negative
lonely night true colors,Neutral
time alone feels lonely purpose otherwise privilege focus get things done,Negative
people handle freedom probably feel lost lonely like live illusion free bondage loved ones desires goals beliefs true freedom madness ability handle empty state,Neutral
friends remember bucky glanced away horrible one calling sam felt lonely times let calls go voice mail sometimes bucky knew alone way hurt anyone,Negative
went buy snack ended buying make god im hopeless,Negative
havent taken anxiety medication antidepressants couple days dare say feel better like ocd manageable fuck outta,Positive
bunny texting toilet jokingly asked send pic prove really toilet sent right away shes good bunny im gonna waifu,Neutral
best friends maybe lonely,Neutral
lonely hell soooo freaking frustrating punished frucking twitter,Negative
living best life im depressed,Positive
would better presbyterians gave hopeless pursuit ever cool,Neutral
antidepressants dangerous btw mess mind,Negative
see forever ever ridiculous man lonely soul wanderer restless frustrated artist man love love,Neutral
forever thugin lonely,Neutral
could find way let slowly little sympathy hope show wanna go ill lonely youre leavin baby let slowly,Negative
alone searching dark traces love left inside lonely heart,Negative
guess im hot know know dont want alone yeah lonely nights,Neutral
cat keep knocking antidepressants,Neutral
try bother sucrose youre loose end youll startle poor girl shes gifted interacting sorts exotic creatures hopeless comes humans,Negative
kiwi always fav lonely close second,Neutral
lost nut november picture dirty feet hopeless findom,Negative
like pikachu lot ig,Neutral
felt deeply havent physically felt weak long time insensitivity people ive seen today rendered hopeless want protect,Negative
get second opinion generally never get meds unless doctor says safe tried go antidepressants couple times made worse,Neutral
thats lot hope chronically hopeless person,Neutral
lonely wanna play around,Neutral
cant live world everything falls nothing stays cant spend beautiful moments thinking theyll end dont wanna trust rely people knowing theyll leave dont want love thatll fade feels like end time good seems hopeless,Negative
dont realise lonely end day bunch things talk one tell,Neutral
dont show leigh next holiday china,Neutral
last three weeks herschel walker gone hopeless loser might win without runoff,Neutral
honestly feel way loves kids gotta suck know never experience level motherhood like going 9 months pregnancy breast feeding may god comfort give peace,Positive
lonely friends abandoned worst years life boom incomes persona 5 carrying frfr becoming everything,Negative
im interested making friends anyone doesnt know use sumproduct vlookup mentioned terribly lonely,Negative
watch antidepressants impact dry eye nasal spray,Neutral
one friend heart offends lonely greedy demands,Positive
depressed well dressed,Neutral
realized forgot take antidepressant yesterday everything makes sense,Positive
happy free confused lonely time gt gt,Positive
listen lbc day night english folk call saying law order broken hopeless police slum landlords folk living horrific circumstances nhs utterly broken listen count blessings scotland,Negative
aaaaah geez youre hopeless little horse sometimes,Negative
hi elissa never really felt lonely chemo mostly felt really bored brought phone started talking people reading books online eventually 1950s sci fi movies youtube enough keep mind engaged,Positive
sad lonely day today,Negative
antidepressant making blood pressure high ever slightly annoying,Negative
semen excellent antidepressant investigations speak properties antidepressants semen contains cortisol improves mood general also contains three antidepressants par excellence melatonin thyrotropin serotonin,Positive
lois griffin da antidepressants,Neutral
may seem hopeless get fine,Positive
fatties taking antidepressants,Neutral
get girlfriend please lonely,Negative
theyre making take antidepressants ibs,Neutral
breaking peoples spirits broken people compliant kids never stand anything hate controversy angry depressed see hopeless ask want say point,Negative
inflammation may explain antidepressants link preterm birth via,Neutral
already feeling lonely kingdom left shall destroy take hand well build new one,Neutral
im also lonely,Negative
cry hurting hungry lonely bored empty broke,Negative
took self control keep grip anchor slowly dragged away edge lonely grave flowing around air willed inside struggled feet,Neutral
feel sad life must lonely,Negative
lonely boy stayin lonely memories staying side lonely boy,Neutral
sky lonely grey every night feel gravity waves last fall,Neutral
taken aback lonely owen looks think knowledge comes rumors know real owen,Positive
class thoughts coffee replacement antidepressants,Neutral
hopeless romantic energy,Neutral
get die sad lonely mfer,Negative
love whole sky pink see moon sunset like minutes im depressed dark 7p anymore,Positive
struggling depression anxiety substance abuse etc feel hopeless consider trying ketamine therapy legal sage effective 9 n,Positive
lonely top means gotta appreciate view,Positive
definitely one favorite star wars scenes already,Neutral
miss antidepressant antipsychotic combination meal shit would go hard today,Negative
ask oc sogetsu fujiki,Neutral
im sorry feel like im making frustrated im joking know troll account,Negative
hey im side im also depressed hear people blaming jacinda saying wont vote labour really clue horrors could worked education far long ever vote national,Negative
tiktok sports content really fuck getting old keep,Neutral
antidepressant three weeks feeling fucking awesome,Positive
wrong lonely realisation,Negative
point find someone go keep getting hopes hopeless romantic,Positive
love baby quite alright want baby warm lonely nights,Positive
7am lonely fishing hours,Neutral
still distracted hopeless echos,Negative
goal give satisfaction achieving lose love along way men women dedicate whole lives ambition reach mountain top late 30s early 40s realize time caught lonely,Positive
nothing hopeless sleepwalker even daylight hours couldnt stop dreaming,Positive
taking antidepressants coffee,Neutral
antidepressants made even depressed,Negative
fairytale tress dreams exist isnt real fake life made men weak women difficult dumb hopeless world life environment dii da daaaay lmfaoo love life,Negative
dont asking antidepressant looking something daughter current medicine isnt really working,Neutral
officially 1 year antidepressants anxiety wow fucking good year glad started knows many attacks would without hundreds guaranteed way better work handled stress better way,Positive
another lonely night rose,Negative
beginning take antidepressant senior high school still today 6 5 years later dont plan stopping saved life amp im incredibly grateful,Positive
god zen feel times like viewer one step back remember theres living breathing someone behind model someone deserves love caring support,Positive
bullet pushing glass though,Neutral
hopeless romantic na bobo always death,Negative
feel lonely left want someone thinks see something remember random times day want someones priority like,Negative
sometimes get overwhelmed love friends much therapist lonely nerd,Positive
lonely stoner kush blasts mind night,Negative
sending much love truly wish could take pain away sorry anyway help plz let know lt 3,Positive
ive waking feeling lonely,Neutral
gotten pregnant 19 20,Neutral
kirsch spent lot money investing repurposing drugs antidepressants things imaginary virus costing steve big time,Neutral
leave depressed emma,Negative
must lonely losing people presumably thats reply every tweet get get hobby,Negative
tired couple days get room lay silence tv nothing bed lol maybe cause lonely,Negative
im starting antidepressants soon im fucking scared theyre going make gain weight,Negative
makes happy kids close age cause lonely play,Positive
completely screwed lonely,Negative
beautiful name beautiful see oh lonely day see oh girl things oh girl one miss thoughts fly day day oh lonely nights sit hands,Negative
got prescribed antidepressants today,Neutral
currently listening young amp hopeless good charlotte p,Neutral
use benefit addicted attention easy manipulate dont waste life something real depress live present spend quality time people love,Positive
students may frustrated infinitely superior pedagogy shouldnt teach,Neutral
research led looks racial ethnic differences medication psychotherapy use,Neutral
guess easyout continue living self centered empty lonely amp irresponsible life instead right thing innocent baby invited world way irrespinsible hoarring self centered desires,Neutral
im afraid look lonely billionaire respond,Negative
random ass people sat table im loke family dinner rn make feel less lonely,Positive
even watch video end cos woman seated watching kids disrespecting dad much,Neutral
found love hopeless place shine light open door love life divide,Positive
two lonely people trying hate little less,Negative
really hard say noticeable frustrated also keeps calm professional interviews like trusting process,Positive
every woman know 30 single drinks bottle wine every night eats antidepressants,Neutral
really hopeless romantic like little things make happy random flowers card oh picked something bc made think omg yes love allllllll,Positive
im frustrated jimn jin come,Negative
despite shit life prolly mentally emotionally stable felt long time shout birth control antidepressants gossip girl fr,Positive
idk already accepted men usually slower start gosh feels hopeless,Negative
loyal world lonely,Neutral
point feel like u something better talk someone asking opinion going better self diagnosing urself like damn guess im depress,Neutral
blessed beyond measures forever grateful,Positive
best energy drink 3l water best focus drug 8 hours sleep best antidepressant 45 minutes exercise,Positive
fall bullshit left feeling hopeless,Negative
good luck partner exactly amp two recalcitrant hopeless fitters come round ever,Positive
feel exactly thing said immediately started crying wow im fucking lonely ridiculous,Negative
agree time lonely christmas palace school scene snow globe mentioned otherwise nothing,Neutral
compassion hopeless homeless cause enough,Positive
feeling really lonely,Negative
got trouble saying understand easy women pressured feeling hopeless abortion pregnant rainbow baby even surrounded people loved amp supported felt overwhelmed rough pregnancy,Neutral
leave lonely ima solider b fine,Negative
situation may feel hopeless know god things possible,Positive
yea also see lot human kindness hopeless,Positive
know moments low frustrated hopeless feel like giving whatever takes move back gratitude appreciation surrender understanding everything falls place even beautiful graceful could ever imagine,Positive
every time im like damn sad bc forgot take antidepressants,Negative
hopeless awkward desperate love,Negative
like feel lonely,Neutral
yea feel fucking lonely,Negative
fucking lonely solution isolate goodbye,Negative
wants replace migrant labour robot labour,Neutral
good feeling nothing im hopeless,Negative
first years antidepressants,Neutral
antidepressant x antipsychotic meds,Neutral
cozy corner makeover hopeless romantics,Neutral
need antidepressants boyfriend someone scream get together,Negative
felice knows ate everybody picture,Neutral
stay someone want lonely lt lt lt lt lt could never,Neutral
want know bf hid fucking antidepressants feel fucking shit fuck,Negative
nope antidepressants fucked,Negative
write things think youre body run words say youre hopelessly lonely dont leave city dont leave covers know hard swear still love,Negative
food best antidepressant,Positive
throw antidepressants away,Neutral
antidepressants lowkey make everything worse,Negative
hate falling asleep early,Negative
think make cum quickly taking antidepressant amp adhd,Neutral
babies awake pray go bed sleep get lonely motherhood best feeling ever,Positive
people hopeless pathetic much miss trump,Negative
thank ashley lonely moment x,Neutral
seen sometime next year,Neutral
bringing dreams lonely cold,Positive
best friend announced leaving nascar phoenix hes awesome dude wish best,Positive
feels like something air making extra depressed world weighing sooo fucking hard time year many intense attachments soul feels like treading water,Negative
everyone feels lonely everyone,Negative
take antidepressant tonight,Neutral
blocked many advertisers dont even get ads tl anymore even obscure stuff guess works,Neutral
meowing fun good antidepressant people,Positive
sucked lot trump 70k people died covid 19 trump decided flu actually died long excruciating lonely death away loved ones,Negative
think slept bit earlier usual,Neutral
hopeless distraught cause,Negative
imagine lonely feel accomplished someone blocking,Negative
thanks info really frustrated much charge small places sorry explain need debate agree lot say,Positive
group men next spirit bar hopeless masquerade direct reference gaijin 4koma better known reaction guys meme western world particularly excited state,Neutral
always get lonely even though opposite,Neutral
give playlist listen im hopeless sadist,Neutral
yea hopeless great things take time ive learned patience love right,Positive
martin blackwood lonely anymore lonely anymore want friends friends love heh love forget forget,Positive
make party lonely quick asf,Positive
5 days ago omg im sorry feeling way know horrible eventually stop crying though go lay bed try go sleep youll settle,Negative
base getting demoralized red wave talk dems operate emotion become depressed easily,Negative
honestly fastest growing disability lonely dont see allowed compete doesnt make tradition hypocritical hey wouldnt pick em im great time cause swimsuits shouldnt,Neutral
burning hopeless dream hold go sleep,Negative
wish could forever need miss x lonely night feel foolish heart wanna say love,Positive
starting get lonely,Negative
republican party influencer crap call pathetic acts pretty filter photos get money lonely white liberal men probably bet,Negative
dude tumblr thinspo much triggering istg shit got spiraling,Negative
nov started alr feel hopeless,Negative
surprising really theyve trying euthanize us 3 years,Neutral
im without baby youre still lonely mind think baby dream time im without baby youre still dreams tonight girl,Positive
feeling lonely unwanted usual,Neutral
extraordinary crash landing strong women bong soon go back couple private life go hos starry night wok love secret life secretary fated love last empress uzun ama ok g zel touch heart masters sun business proposal,Positive
finish shower forever lonely alone,Negative
dont care lonely top lonely bottom,Negative
gonna take antidepressants second day taking hate die die dark,Negative
might random need vent feel lonely trapped rl sometimes havent told people life im bi idk ever truly open feels hopeless sometimes really want keep trying,Negative
gotta safe house waaaay way safe say safe feel lonely,Neutral
grandpa one abandon lonely grandpa,Positive
days feel lonely remember people things let go knew best feel little less alone knowing one back least,Neutral
hopeless try google cdc reading amp research fundamental easy,Neutral
thinks strong girl doesnt need anyone deep inside huge hopeless romantic wants loved genuinely treated right get hurt,Positive
ive thinking aint nothing else really talk boy show want days youve feeling lonely yeah ive feeling lonely im fuck wont show run back like owe,Negative
think feart much better word afraid word demands either yelped gulped plus word fear,Neutral
antidepressants ruined life even cry brah,Negative
tired burnt depressed moving forward,Negative
hope hopeless changes time,Neutral
wish super hopeless romantic whole life going great bcs partner still feels incomplete tired shit want normal craving love much,Positive
yeah representation really matters seeing someone like makes difference lonely one,Positive
wait whats ny questions shdgfffd,Neutral
thags antidepressants never worked im depressed,Positive
building regulation heavy spaces feel soul sucking hopeless draining times dont stop keep going interesting opportunities,Positive
know drugs cause osteoporosis cortone tablets antidepressant pill fluoxetine contraceptive injection aluminum gastric syrup anticonvulsant medicine,Neutral
giveup such bitch hopeless,Negative
seems something changed emotional state way time ago hopeless depression emotional fluctuations absolute depression tears bouts intense activity seems obsession,Negative
